id,cip_prefix,completions
100654,01,38
100654,03,4
100654,04,5
100654,09,8
100654,10,24
100654,11,37
100654,13,28
100654,14,87
100654,15,19
100654,19,14
100654,23,7
100654,24,25
100654,26,91
100654,27,5
100654,31,30
100654,40,8
100654,42,48
100654,43,32
100654,44,79
100654,45,10
100654,50,4
100654,51,15
100654,52,113
100654,99,731
100663,05,2
100663,09,98
100663,11,319
100663,13,437
100663,14,417
100663,16,15
100663,23,50
100663,24,97
100663,26,635
100663,27,32
100663,30,45
100663,31,9
100663,38,12
100663,40,92
100663,42,272
100663,43,123
100663,44,76
100663,45,124
100663,50,99
100663,51,2530
100663,52,1171
100663,54,42
100663,99,6697
100690,19,24
100690,30,6
100690,38,9
100690,39,60
100690,43,8
100690,51,9
100690,52,55
100690,99,171
100706,09,27
100706,11,226
100706,13,63
100706,14,669
100706,15,6
100706,16,16
100706,23,53
100706,26,95
100706,27,25
100706,30,36
100706,31,47
100706,38,3
100706,40,120
100706,42,71
100706,44,2
100706,45,31
100706,50,56
100706,51,334
100706,52,439
100706,54,20
100706,99,2339
100724,09,26
100724,11,44
100724,13,50
100724,14,8
100724,23,2
100724,26,61
100724,27,4
100724,30,41
100724,31,4
100724,40,6
100724,42,21
100724,43,46
100724,44,41
100724,45,8
100724,50,45
100724,51,99
100724,52,92
100724,54,4
100724,99,602
100751,03,25
100751,05,18
100751,09,783
100751,11,116
100751,13,431
100751,14,807
100751,16,50
100751,19,660
100751,22,168
100751,23,96
100751,25,105
100751,26,288
100751,27,78
100751,30,136
100751,31,228
100751,38,18
100751,40,129
100751,42,433
100751,44,280
100751,45,568
100751,50,191
100751,51,904
100751,52,2623
100751,54,96
100751,99,9231
100760,11,11
100760,12,17
100760,15,10
100760,19,5
100760,24,101
100760,30,15
100760,47,17
100760,48,53
100760,51,106
100760,52,24
100760,99,359
100812,11,20
100812,13,256
100812,23,23
100812,24,68
100812,26,12
100812,27,17
100812,30,6
100812,31,8
100812,38,9
100812,40,2
100812,42,15
100812,43,16
100812,45,16
100812,50,11
100812,51,21
100812,52,333
100812,54,11
100812,99,844
